ticker,finviz_industry,finviz_sector,etf_name,kind,note
COPX,Copper,Basic Materials,Global X Copper Miners ETF,thematic,copper miners
ITA,Aerospace & Defense,Industrials,iShares U.S. Aerospace & Defense ETF,thematic,pure-play A&D
SMH,Semiconductors,Technology,VanEck Semiconductor ETF,thematic,top 25 US semis by market cap
SOXX,Semiconductors,Technology,iShares Semiconductor ETF,thematic,broad semis index
XBI,Biotechnology,Healthcare,SPDR S&P Biotech ETF,thematic,equal-weight biotech
IBB,Biotechnology,Healthcare,iShares Biotechnology ETF,thematic,market-cap biotech
GDX,Gold,Basic Materials,VanEck Gold Miners ETF,thematic,senior gold miners
GDXJ,Gold,Basic Materials,VanEck Junior Gold Miners ETF,thematic,junior gold miners
URA,Uranium,Energy,Global X Uranium ETF,thematic,uranium miners and producers
TAN,Solar,Technology,Invesco Solar ETF,thematic,solar energy companies
JETS,Airlines,Industrials,U.S. Global Jets ETF,thematic,global airline industry
XOP,Oil & Gas E&P,Energy,SPDR S&P Oil & Gas Exploration & Production ETF,thematic,E&P companies
OIH,Oil & Gas Equipment & Services,Energy,VanEck Oil Services ETF,thematic,oilfield services
KRE,Banks - Regional,Financial,SPDR S&P Regional Banking ETF,thematic,US regional banks
KBE,Banks - Diversified,Financial,SPDR S&P Bank ETF,thematic,diversified US banks
XLE,,Energy,Energy Select Sector SPDR ETF,sector,all 11 S&P 500 energy stocks
XLF,,Financial,Financial Select Sector SPDR ETF,sector,all S&P 500 financials
XLI,,Industrials,Industrial Select Sector SPDR ETF,sector,all S&P 500 industrials
XLK,,Technology,Technology Select Sector SPDR ETF,sector,all S&P 500 tech stocks
XLV,,Healthcare,Health Care Select Sector SPDR ETF,sector,all S&P 500 healthcare
XLP,,Consumer Defensive,Consumer Staples Select Sector SPDR ETF,sector,all S&P 500 consumer staples
XLY,,Consumer Cyclical,Consumer Discretionary Select Sector SPDR ETF,sector,all S&P 500 consumer discretionary
XLU,,Utilities,Utilities Select Sector SPDR ETF,sector,all S&P 500 utilities
XLB,,Basic Materials,Materials Select Sector SPDR ETF,sector,all S&P 500 materials
XLRE,,Real Estate,Real Estate Select Sector SPDR ETF,sector,all S&P 500 real estate
XLC,,Communication Services,Communication Services Select Sector SPDR ETF,sector,all S&P 500 comm services
SPY,,,SPDR S&P 500 ETF Trust,diversified,tracks full S&P 500 index
QQQ,,,Invesco QQQ Trust,diversified,tracks Nasdaq-100 index
