date,name,rank_day,rank_week,rank_month,rank_quarter,rank_half,rank_year,rank_ytd,rank_week_delta_7d,rank_week_delta_14d,rank_week_delta_30d,rank_month_delta_7d,rank_month_delta_14d,rank_month_delta_30d,rank_ytd_delta_7d,rank_ytd_delta_14d,rank_ytd_delta_30d,perf_week_delta_7d,perf_week_delta_14d,perf_week_delta_30d,perf_month_delta_7d,perf_ytd_delta_7d,perf_ytd_delta_30d,momentum_score
2026-06-09,Advertising Agencies,,131.0,16.0,53.0,129.0,76.0,131.0,,,,,,,,,,,,,,,,0.4385614385614386
2026-06-09,Aerospace & Defense,,97.0,50.0,116.0,52.0,55.0,67.0,,,,,,,,,,,,,,,,0.46153846153846156
2026-06-09,Agricultural Inputs,,114.0,113.0,111.0,44.0,96.0,47.0,,,,,,,,,,,,,,,,0.3596403596403596
2026-06-09,Airlines,,123.0,49.0,40.0,77.0,50.0,99.0,,,,,,,,,,,,,,,,0.4535464535464535
2026-06-09,Airports & Air Services,,134.0,127.0,115.0,130.0,91.0,132.0,,,,,,,,,,,,,,,,0.21478521478521478
2026-06-09,Aluminum,,113.0,12.0,14.0,2.0,4.0,8.0,,,,,,,,,,,,,,,,0.8451548451548451
2026-06-09,Apparel Manufacturing,,83.0,95.0,58.0,69.0,51.0,64.0,,,,,,,,,,,,,,,,0.5574425574425576
2026-06-09,Apparel Retail,,19.0,44.0,66.0,57.0,59.0,74.0,,,,,,,,,,,,,,,,0.6133866133866134
2026-06-09,Asset Management,,95.0,103.0,45.0,106.0,102.0,111.0,,,,,,,,,,,,,,,,0.3676323676323676
2026-06-09,Auto & Truck Dealerships,,74.0,131.0,57.0,108.0,108.0,115.0,,,,,,,,,,,,,,,,0.4045954045954046
2026-06-09,Auto Manufacturers,,99.0,63.0,70.0,112.0,46.0,113.0,,,,,,,,,,,,,,,,0.5014985014985015
2026-06-09,Auto Parts,,52.0,81.0,61.0,79.0,74.0,56.0,,,,,,,,,,,,,,,,0.5514485514485515
2026-06-09,Banks - Diversified,,26.0,33.0,29.0,50.0,39.0,62.0,,,,,,,,,,,,,,,,0.7182817182817182
2026-06-09,Banks - Regional,,45.0,72.0,63.0,81.0,66.0,84.0,,,,,,,,,,,,,,,,0.5144855144855145
2026-06-09,Beverages - Brewers,,82.0,97.0,49.0,29.0,78.0,34.0,,,,,,,,,,,,,,,,0.5794205794205795
2026-06-09,Beverages - Non-Alcoholic,,53.0,62.0,81.0,55.0,75.0,54.0,,,,,,,,,,,,,,,,0.5554445554445555
2026-06-09,Beverages - Wineries & Distilleries,,34.0,108.0,69.0,113.0,130.0,94.0,,,,,,,,,,,,,,,,0.41258741258741255
2026-06-09,Biotechnology,,105.0,110.0,91.0,96.0,42.0,88.0,,,,,,,,,,,,,,,,0.36963036963036966
2026-06-09,Broadcasting,,112.0,129.0,140.0,124.0,115.0,129.0,,,,,,,,,,,,,,,,0.12987012987012986
2026-06-09,Building Materials,,120.0,126.0,96.0,105.0,88.0,112.0,,,,,,,,,,,,,,,,0.2167832167832168
2026-06-09,Building Products & Equipment,,23.0,69.0,41.0,46.0,83.0,41.0,,,,,,,,,,,,,,,,0.6593406593406594
2026-06-09,Business Equipment & Supplies,,18.0,20.0,17.0,36.0,103.0,31.0,,,,,,,,,,,,,,,,0.7692307692307692
2026-06-09,Capital Markets,,91.0,25.0,23.0,62.0,38.0,55.0,,,,,,,,,,,,,,,,0.6883116883116883
2026-06-09,Chemicals,,118.0,132.0,65.0,13.0,54.0,16.0,,,,,,,,,,,,,,,,0.5514485514485514
2026-06-09,Coking Coal,,128.0,13.0,16.0,47.0,10.0,59.0,,,,,,,,,,,,,,,,0.6363636363636364
2026-06-09,Communication Equipment,,97.0,5.0,3.0,5.0,6.0,5.0,,,,,,,,,,,,,,,,0.865134865134865
2026-06-09,Computer Hardware,,133.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.8631368631368631
2026-06-09,Confectioners,,73.0,76.0,88.0,59.0,104.0,52.0,,,,,,,,,,,,,,,,0.42257742257742253
2026-06-09,Conglomerates,,125.0,52.0,100.0,74.0,84.0,70.0,,,,,,,,,,,,,,,,0.4105894105894106
2026-06-09,Consulting Services,,106.0,71.0,132.0,132.0,142.0,134.0,,,,,,,,,,,,,,,,0.16683316683316685
2026-06-09,Consumer Electronics,,90.0,26.0,25.0,60.0,33.0,50.0,,,,,,,,,,,,,,,,0.5874125874125874
2026-06-09,Copper,,139.0,65.0,92.0,20.0,16.0,29.0,,,,,,,,,,,,,,,,0.5724275724275724
2026-06-09,Credit Services,,93.0,89.0,79.0,115.0,118.0,126.0,,,,,,,,,,,,,,,,0.2987012987012987
2026-06-09,Department Stores,,10.0,7.0,31.0,104.0,15.0,89.0,,,,,,,,,,,,,,,,0.7292707292707293
2026-06-09,Diagnostics & Research,,89.0,38.0,77.0,127.0,65.0,122.0,,,,,,,,,,,,,,,,0.4015984015984016
2026-06-09,Discount Stores,,11.0,122.0,93.0,61.0,68.0,53.0,,,,,,,,,,,,,,,,0.5644355644355644
2026-06-09,Drug Manufacturers - General,,15.0,22.0,72.0,56.0,49.0,68.0,,,,,,,,,,,,,,,,0.6293706293706294
2026-06-09,Drug Manufacturers - Specialty & Generic,,55.0,116.0,110.0,83.0,90.0,95.0,,,,,,,,,,,,,,,,0.3926073926073926
2026-06-09,Education & Training Services,,84.0,111.0,78.0,71.0,112.0,80.0,,,,,,,,,,,,,,,,0.3516483516483516
2026-06-09,Electrical Equipment & Parts,,121.0,102.0,11.0,7.0,3.0,4.0,,,,,,,,,,,,,,,,0.6753246753246753
2026-06-09,Electronic Components,,61.0,31.0,8.0,14.0,5.0,11.0,,,,,,,,,,,,,,,,0.87012987012987
2026-06-09,Electronic Gaming & Multimedia,,116.0,75.0,106.0,137.0,123.0,135.0,,,,,,,,,,,,,,,,0.2517482517482518
2026-06-09,Electronics & Computer Distribution,,58.0,4.0,2.0,4.0,18.0,3.0,,,,,,,,,,,,,,,,0.88011988011988
2026-06-09,Engineering & Construction,,51.0,117.0,21.0,21.0,21.0,17.0,,,,,,,,,,,,,,,,0.6913086913086912
2026-06-09,Entertainment,,111.0,114.0,114.0,111.0,126.0,108.0,,,,,,,,,,,,,,,,0.2757242757242757
2026-06-09,Farm & Heavy Construction Machinery,,4.0,56.0,26.0,17.0,20.0,15.0,,,,,,,,,,,,,,,,0.8301698301698303
2026-06-09,Farm Products,,110.0,91.0,47.0,31.0,36.0,27.0,,,,,,,,,,,,,,,,0.5484515484515484
2026-06-09,Financial Conglomerates,,71.0,8.0,20.0,24.0,30.0,25.0,,,,,,,,,,,,,,,,0.7982017982017983
2026-06-09,Financial Data & Stock Exchanges,,119.0,125.0,123.0,118.0,122.0,123.0,,,,,,,,,,,,,,,,0.15884115884115885
2026-06-09,Food Distribution,,13.0,36.0,86.0,53.0,72.0,49.0,,,,,,,,,,,,,,,,0.6573426573426573
2026-06-09,Footwear & Accessories,,115.0,43.0,126.0,135.0,133.0,136.0,,,,,,,,,,,,,,,,0.29670329670329665
2026-06-09,"Furnishings, Fixtures & Appliances",,101.0,67.0,101.0,114.0,86.0,114.0,,,,,,,,,,,,,,,,0.35764235764235763
2026-06-09,Gambling,,92.0,66.0,67.0,143.0,141.0,143.0,,,,,,,,,,,,,,,,0.33666333666333664
2026-06-09,Gold,,137.0,140.0,142.0,82.0,28.0,101.0,,,,,,,,,,,,,,,,0.2937062937062937
2026-06-09,Grocery Stores,,12.0,85.0,118.0,85.0,129.0,79.0,,,,,,,,,,,,,,,,0.4435564435564436
2026-06-09,Health Information Services,,129.0,55.0,73.0,133.0,135.0,121.0,,,,,,,,,,,,,,,,0.26073926073926074
2026-06-09,Healthcare Plans,,3.0,11.0,5.0,27.0,47.0,28.0,,,,,,,,,,,,,,,,0.8701298701298701
2026-06-09,Home Improvement Retail,,67.0,119.0,133.0,123.0,124.0,117.0,,,,,,,,,,,,,,,,0.23276723276723274
2026-06-09,Household & Personal Products,,37.0,80.0,119.0,91.0,121.0,90.0,,,,,,,,,,,,,,,,0.3596403596403596
2026-06-09,Industrial Distribution,,29.0,84.0,56.0,54.0,73.0,46.0,,,,,,,,,,,,,,,,0.5624375624375625
2026-06-09,Information Technology Services,,140.0,24.0,99.0,136.0,137.0,137.0,,,,,,,,,,,,,,,,0.2247752247752248
2026-06-09,Insurance - Diversified,,17.0,48.0,84.0,89.0,93.0,91.0,,,,,,,,,,,,,,,,0.49350649350649345
2026-06-09,Insurance - Life,,44.0,68.0,37.0,70.0,69.0,81.0,,,,,,,,,,,,,,,,0.5554445554445554
2026-06-09,Insurance - Property & Casualty,,20.0,60.0,82.0,86.0,105.0,93.0,,,,,,,,,,,,,,,,0.4305694305694306
2026-06-09,Insurance - Reinsurance,,31.0,120.0,80.0,63.0,85.0,82.0,,,,,,,,,,,,,,,,0.42157842157842157
2026-06-09,Insurance - Specialty,,54.0,118.0,102.0,116.0,114.0,119.0,,,,,,,,,,,,,,,,0.25974025974025977
2026-06-09,Insurance Brokers,,43.0,52.0,112.0,126.0,139.0,128.0,,,,,,,,,,,,,,,,0.2807192807192807
2026-06-09,Integrated Freight & Logistics,,66.0,17.0,30.0,26.0,34.0,30.0,,,,,,,,,,,,,,,,0.7592407592407593
2026-06-09,Internet Content & Information,,107.0,128.0,33.0,64.0,29.0,60.0,,,,,,,,,,,,,,,,0.46553446553446554
2026-06-09,Internet Retail,,126.0,135.0,36.0,88.0,81.0,85.0,,,,,,,,,,,,,,,,0.3766233766233766
2026-06-09,Leisure,,94.0,98.0,76.0,97.0,98.0,98.0,,,,,,,,,,,,,,,,0.4105894105894106
2026-06-09,Lodging,,21.0,19.0,27.0,28.0,37.0,35.0,,,,,,,,,,,,,,,,0.7592407592407593
2026-06-09,Lumber & Wood Production,,75.0,86.0,97.0,78.0,107.0,76.0,,,,,,,,,,,,,,,,0.4325674325674326
2026-06-09,Luxury Goods,,46.0,32.0,89.0,49.0,26.0,69.0,,,,,,,,,,,,,,,,0.6623376623376622
2026-06-09,Marine Shipping,,78.0,107.0,43.0,25.0,32.0,20.0,,,,,,,,,,,,,,,,0.6533466533466533
2026-06-09,Medical Care Facilities,,86.0,134.0,139.0,122.0,94.0,116.0,,,,,,,,,,,,,,,,0.1768231768231768
2026-06-09,Medical Devices,,27.0,51.0,135.0,138.0,132.0,139.0,,,,,,,,,,,,,,,,0.3096903096903097
2026-06-09,Medical Distribution,,9.0,27.0,137.0,101.0,77.0,109.0,,,,,,,,,,,,,,,,0.45054945054945056
2026-06-09,Medical Instruments & Supplies,,38.0,104.0,124.0,128.0,127.0,130.0,,,,,,,,,,,,,,,,0.2837162837162837
2026-06-09,Metal Fabrication,,39.0,29.0,32.0,22.0,27.0,24.0,,,,,,,,,,,,,,,,0.8161838161838162
2026-06-09,Mortgage Finance,,136.0,138.0,138.0,144.0,116.0,144.0,,,,,,,,,,,,,,,,0.053946053946053944
2026-06-09,Oil & Gas Drilling,,70.0,63.0,46.0,8.0,9.0,7.0,,,,,,,,,,,,,,,,0.8021978021978022
2026-06-09,Oil & Gas E&P,,57.0,45.0,75.0,30.0,43.0,23.0,,,,,,,,,,,,,,,,0.7152847152847153
2026-06-09,Oil & Gas Equipment & Services,,25.0,37.0,28.0,11.0,13.0,10.0,,,,,,,,,,,,,,,,0.8781218781218781
2026-06-09,Oil & Gas Integrated,,50.0,47.0,52.0,23.0,31.0,21.0,,,,,,,,,,,,,,,,0.7592407592407593
2026-06-09,Oil & Gas Midstream,,32.0,59.0,62.0,37.0,58.0,32.0,,,,,,,,,,,,,,,,0.6433566433566433
2026-06-09,Oil & Gas Refining & Marketing,,36.0,21.0,24.0,18.0,24.0,9.0,,,,,,,,,,,,,,,,0.8441558441558442
2026-06-09,Other Industrial Metals & Mining,,135.0,94.0,35.0,19.0,22.0,22.0,,,,,,,,,,,,,,,,0.6373626373626374
2026-06-09,Other Precious Metals & Mining,,143.0,143.0,144.0,99.0,25.0,127.0,,,,,,,,,,,,,,,,0.2677322677322677
2026-06-09,Packaged Foods,,64.0,100.0,131.0,121.0,136.0,118.0,,,,,,,,,,,,,,,,0.2837162837162837
2026-06-09,Packaging & Containers,,79.0,112.0,121.0,92.0,117.0,102.0,,,,,,,,,,,,,,,,0.2697302697302697
2026-06-09,Paper & Paper Products,,69.0,130.0,141.0,125.0,128.0,125.0,,,,,,,,,,,,,,,,0.20279720279720284
2026-06-09,Personal Services,,80.0,137.0,130.0,130.0,131.0,133.0,,,,,,,,,,,,,,,,0.1778221778221778
2026-06-09,Pharmaceutical Retailers,,130.0,136.0,134.0,142.0,143.0,142.0,,,,,,,,,,,,,,,,0.15484515484515485
2026-06-09,Pollution & Treatment Controls,,48.0,93.0,74.0,110.0,92.0,104.0,,,,,,,,,,,,,,,,0.38561438561438566
2026-06-09,Publishing,,75.0,78.0,49.0,32.0,56.0,42.0,,,,,,,,,,,,,,,,0.5334665334665335
2026-06-09,Railroads,,32.0,35.0,38.0,38.0,53.0,33.0,,,,,,,,,,,,,,,,0.7012987012987012
2026-06-09,Real Estate - Development,,60.0,77.0,71.0,90.0,69.0,78.0,,,,,,,,,,,,,,,,0.5234765234765235
2026-06-09,Real Estate - Diversified,,16.0,57.0,105.0,120.0,62.0,105.0,,,,,,,,,,,,,,,,0.4835164835164836
2026-06-09,Real Estate Services,,59.0,133.0,122.0,139.0,118.0,141.0,,,,,,,,,,,,,,,,0.2277722277722278
2026-06-09,Recreational Vehicles,,102.0,92.0,87.0,109.0,64.0,110.0,,,,,,,,,,,,,,,,0.41658341658341663
2026-06-09,REIT - Diversified,,56.0,83.0,83.0,68.0,95.0,66.0,,,,,,,,,,,,,,,,0.45154845154845147
2026-06-09,REIT - Healthcare Facilities,,63.0,121.0,95.0,84.0,48.0,58.0,,,,,,,,,,,,,,,,0.3956043956043956
2026-06-09,REIT - Hotel & Motel,,8.0,10.0,13.0,16.0,35.0,19.0,,,,,,,,,,,,,,,,0.8361638361638362
2026-06-09,REIT - Industrial,,24.0,61.0,54.0,51.0,63.0,43.0,,,,,,,,,,,,,,,,0.6223776223776224
2026-06-09,REIT - Mortgage,,87.0,123.0,103.0,107.0,99.0,107.0,,,,,,,,,,,,,,,,0.26373626373626374
2026-06-09,REIT - Office,,2.0,15.0,18.0,72.0,113.0,63.0,,,,,,,,,,,,,,,,0.7092907092907093
2026-06-09,REIT - Residential,,22.0,46.0,51.0,65.0,106.0,77.0,,,,,,,,,,,,,,,,0.5264735264735265
2026-06-09,REIT - Retail,,30.0,54.0,63.0,48.0,60.0,45.0,,,,,,,,,,,,,,,,0.6083916083916083
2026-06-09,REIT - Specialty,,62.0,70.0,48.0,41.0,101.0,37.0,,,,,,,,,,,,,,,,0.5084915084915086
2026-06-09,Rental & Leasing Services,,5.0,18.0,19.0,34.0,44.0,36.0,,,,,,,,,,,,,,,,0.8371628371628371
2026-06-09,Residential Construction,,65.0,42.0,104.0,119.0,82.0,92.0,,,,,,,,,,,,,,,,0.43356643356643365
2026-06-09,Resorts & Casinos,,108.0,40.0,44.0,98.0,52.0,100.0,,,,,,,,,,,,,,,,0.5234765234765234
2026-06-09,Restaurants,,81.0,115.0,127.0,95.0,120.0,96.0,,,,,,,,,,,,,,,,0.2787212787212788
2026-06-09,Scientific & Technical Instruments,,28.0,34.0,22.0,10.0,23.0,12.0,,,,,,,,,,,,,,,,0.867132867132867
2026-06-09,Security & Protection Services,,75.0,99.0,94.0,102.0,97.0,106.0,,,,,,,,,,,,,,,,0.3046953046953047
2026-06-09,Semiconductor Equipment & Materials,,6.0,6.0,4.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,0.9830169830169831
2026-06-09,Semiconductors,,127.0,23.0,6.0,12.0,8.0,13.0,,,,,,,,,,,,,,,,0.8141858141858141
2026-06-09,Shell Companies,,100.0,88.0,39.0,134.0,144.0,83.0,,,,,,,,,,,,,,,,0.3756243756243757
2026-06-09,Silver,,144.0,144.0,143.0,35.0,7.0,57.0,,,,,,,,,,,,,,,,0.44955044955044954
2026-06-09,Software - Application,,138.0,58.0,98.0,140.0,140.0,140.0,,,,,,,,,,,,,,,,0.24275724275724272
2026-06-09,Software - Infrastructure,,142.0,41.0,33.0,103.0,100.0,103.0,,,,,,,,,,,,,,,,0.3736263736263737
2026-06-09,Solar,,141.0,2.0,10.0,40.0,17.0,39.0,,,,,,,,,,,,,,,,0.6243756243756244
