date,list_category,selector_version,group,ticker,Ticker,Company,Industry,Country,Market Cap,P/E,Volume,Price,Change,Earnings,Index,Forward P/E,PEG,P/S,P/FCF,EV/EBITDA,EV/Sales,ROE,ROA,ROIC,LTDebt/Eq,Debt/Eq,Dividend Gr. 5Y,EPS,EPS next Q,EPS This Y,EPS Next Y,EPS Past 3Y,EPS Past 5Y,EPS Next 5Y,Sales Past 3Y,Sales Past 5Y,Sales Q/Q,EPS Q/Q,EPS YoY TTM,Sales YoY TTM,Gross M,Oper M,Profit M,Insider Trans,Inst Trans,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,ATR,Volatility M,Beta,SMA20,SMA50,SMA200,RSI,Avg Volume,Rel Volume,Prev Close,Open,High,Low,Recom,Target Price,News Time,News Title,News URL,Daily Digest,Sector,P/C,Enterprise Value,Curr R,Quick R,Sales,Income,Inst Own,Perf 5Y,Volatility W,52W High,52W Low,Change from Open,Gap,Dividend Gr. 3Y,EPS Surprise,Revenue Surprise,grp_rank_basis,grp_category_rank,grp_sum_mid_rank,grp_rank_month,grp_rank_quarter,grp_rank_half,grp_momentum_confirmed,grp_momentum_score,grp_momentum_score_pctile,grp_momentum_accel,grp_momentum_weighted_mid,grp_rank_agreement,grp_regime_short_long,grp_rs_score,grp_rs_agreement,grp_rs_confirmed,grp_rs_accel,grp_rs_new_high,grp_rs_slope
2026-06-25,leaders,v1,Computer Hardware,SNDK,SNDK,Sandisk Corp,Computer Hardware,USA,336.47B,78.98,"9,034,579",2272.09,18.68%,Apr 30/a,"NDX, S&P 500",12.01,-,25.52,75.44,59.14,25.25,39.30%,30.01%,32.29%,0.01,0.02,-,28.77,33.64,2091.97%,188.59%,12.79%,-,-,9.93%,-,251.03%,272.72%,395.16%,82.76%,56.04%,41.58%,34.19%,-0.44%,-4.87%,15.99%,42.94%,235.19%,842.58%,857.15%,4708.66%,-,180.16,8.13%,4.86,21.42%,51.84%,247.36%,65.17,14.29M,1.01,1914.46,2238.49,2292.00,2092.08,1.64,1912.04,32 min,Sandisk Stock Spikes 15% After Citi Unleashes Massive Price Target Hike,https://finance.yahoo.com/markets/stocks/articles/sandisk-stock-spikes-15-citi-170934290.html,"Citi raises SanDisk price target to $2,500 from $2,025 on tighter NAND supply and AI demand",Technology,90.09,332.95B,4.78,3.62,13.18B,4.51B,79.18%,-,6.78%,-3.50%,5566.06%,1.50%,16.93%,-,60.09%,26.06%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,DELL,DELL,Dell Technologies Inc,Computer Hardware,USA,263.66B,32.32,"7,365,765",406.71,-6.30%,May 28/a,S&P 500,18.38,0.52,1.96,27.92,19.51,2.12,-,8.33%,37.04%,-,-,-,12.58,4.88,78.88%,20.11%,38.83%,15.51%,35.64%,3.84%,5.56%,87.49%,281.26%,99.71%,38.87%,19.09%,8.57%,6.27%,-2.69%,-2.25%,-3.01%,33.31%,121.03%,221.23%,223.09%,237.63%,699.51%,29.70,7.25%,1.29,-0.14%,34.94%,126.51%,59.45,8.77M,1.34,434.06,413.01,417.32,391.05,1.73,501.24,2 hours,What Arista Networks Stock's Balance Sheet Revealed Before the AI Boom,https://finance.yahoo.com/m/2752eb72-0daa-37a0-be71-338a9e57ae8a/what-arista-networks-stock%27s.html,GF Securities downgrade to Hold sparks 9% DELL selloff on valuation concerns,Technology,22.43,283.82B,0.95,0.74,134.19B,8.41B,40.38%,706.88%,7.94%,-13.37%,269.00%,-1.53%,-4.85%,16.74%,64.09%,22.66%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,WDC,WDC,Western Digital Corp,Computer Hardware,USA,233.53B,40.44,"7,487,509",677.52,5.23%,Apr 30/a,"NDX, S&P 500",38.07,0.50,19.83,80.39,57.50,19.70,85.87%,40.61%,65.46%,0.01,0.18,-41.82%,16.75,3.29,102.58%,78.19%,0.54%,-,76.79%,-20.28%,-10.67%,45.47%,483.37%,242.76%,-18.43%,45.40%,31.17%,54.28%,-4.00%,-0.95%,-4.86%,29.14%,128.78%,283.30%,293.29%,983.16%,2268.29%,52.56,6.87%,2.07,12.94%,33.76%,143.78%,62.37,8.08M,1.48,643.83,725.70,729.00,658.50,1.79,560.45,2 hours,Micron Sparks Fresh AI Stock Rally,https://finance.yahoo.com/markets/stocks/articles/micron-sparks-fresh-ai-stock-144211104.html,Reuters says Micron’s record-beating fiscal Q3 results and upbeat AI infrastructure forecasts from Micron and Qualcomm boost Western Digital,Technology,72.14,232.02B,1.49,1.20,11.78B,6.39B,98.82%,1167.33%,7.11%,-15.30%,990.49%,-6.64%,12.72%,-,13.57%,2.79%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,STX,STX,Seagate Technology Holdings Plc,Computer Hardware,USA,230.00B,97.37,"3,019,365",1025.76,3.27%,Apr 28/a,"NDX, S&P 500",37.39,0.51,20.89,95.36,66.37,21.17,1787.97%,28.90%,48.78%,3.45,3.82,2.08%,10.54,5.08,83.96%,84.09%,-2.76%,12.31%,73.69%,-7.94%,-2.84%,44.07%,107.51%,55.56%,28.92%,41.54%,29.46%,21.60%,-27.55%,-2.75%,-3.78%,21.28%,148.23%,262.65%,272.47%,640.40%,1600.52%,70.34,6.47%,2.03,7.98%,27.77%,133.71%,62.50,4.11M,1.18,993.25,1106.66,1111.00,1001.33,1.67,908.48,3 hours,"S&P 500, Nasdaq drop as tech megacap declines outweigh upbeat Micron forecast",https://finance.yahoo.com/markets/stocks/articles/nasdaq-futures-jump-2-micron-073003123.html,"Strong AI-related forecasts from Micron and Qualcomm revive demand expectations for memory and storage chips, impacting Seagate",Technology,200.53,233.04B,1.33,0.85,11.01B,2.38B,86.09%,1085.84%,6.80%,-10.41%,652.68%,-7.31%,11.42%,1.07%,16.65%,5.10%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,ANET,ANET,Arista Networks Inc,Computer Hardware,USA,211.38B,57.48,"3,790,499",167.87,3.79%,May 05/a,S&P 500,37.70,1.73,21.77,40.05,46.97,20.50,31.52%,20.57%,27.59%,0.00,0.00,-,2.92,0.88,21.81%,22.68%,37.09%,40.70%,21.85%,27.15%,31.19%,35.13%,26.22%,22.96%,30.57%,63.54%,42.79%,38.32%,-1.31%,1.40%,1.78%,6.24%,24.34%,28.41%,28.11%,74.30%,351.20%,8.33,4.48%,1.60,2.56%,5.00%,17.64%,55.33,9.24M,0.66,161.74,167.00,169.34,159.46,1.12,190.30,2 hours,What Arista Networks Stock's Balance Sheet Revealed Before the AI Boom,https://finance.yahoo.com/m/2752eb72-0daa-37a0-be71-338a9e57ae8a/what-arista-networks-stock%27s.html,Global AI/tech selloff drags Arista Networks (ANET) down 6.81% on June 23,Technology,17.11,199.03B,2.83,2.47,9.71B,3.72B,72.99%,641.50%,3.85%,-6.64%,77.64%,0.52%,3.25%,-,7.66%,3.43%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,P,P,Everpure Inc,Computer Hardware,USA,23.87B,109.18,"1,027,451",71.82,-1.35%,May 27/a,-,24.19,1.19,6.06,46.46,70.19,5.74,16.85%,5.29%,13.90%,0.13,0.16,-,0.66,0.57,16.97%,23.13%,34.55%,-,20.40%,9.98%,16.81%,35.25%,263.40%,75.68%,21.03%,70.23%,4.21%,5.75%,-6.31%,-2.23%,-1.18%,-18.71%,9.69%,6.68%,7.17%,30.74%,100.32%,4.32,5.85%,1.46,-3.78%,-4.65%,-5.22%,45.80,3.29M,0.50,72.80,74.10,74.57,71.69,1.91,93.74,Jun-17,Everpure Unveils Data-Primacy Architecture for the AI Era,https://finviz.com/news/362380/everpure-unveils-data-primacy-architecture-for-the-ai-era,Everpure unveils data-primacy architecture for AI era with launch of Everpure Data Intelligence,Technology,15.84,22.60B,1.54,1.50,3.94B,226.25M,83.19%,259.08%,4.21%,-28.61%,34.42%,-3.08%,1.79%,-,18.18%,5.29%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,HPQ,HPQ,HP Inc,Computer Hardware,USA,21.21B,8.56,"8,688,726",23.19,-0.41%,May 27/a,S&P 500,7.67,3.95,0.37,5.61,5.48,0.49,-,6.25%,26.88%,-,-,10.63%,2.71,0.66,-3.07%,0.04%,-3.82%,5.79%,1.94%,-3.74%,-0.43%,11.05%,14.55%,4.12%,7.20%,20.27%,7.24%,4.42%,-2.21%,3.48%,0.06%,-5.06%,19.19%,0.11%,4.11%,-5.44%,-21.66%,1.15,5.13%,1.21,-7.37%,2.21%,1.57%,45.49,19.79M,0.70,23.29,23.08,23.41,22.57,3.37,23.43,Jun-24,Micron's commentary is a mixed bag for hardware companies like Apple,https://www.marketwatch.com/livecoverage/micron-earnings-stock-results-memory-guidance/card/micron-s-commentary-is-a-mixed-bag-for-hardware-companies-like-apple-FV1uPUmTvpEGAwQqVLiR?mod=mw_FV,"HP Inc. declares a $0.30 per share cash dividend payable October 7, 2026 to shareholders of record on September 9, 2026.",Technology,5.73,28.37B,0.79,0.49,57.77B,2.55B,95.00%,-21.93%,4.06%,-21.77%,32.09%,0.50%,-0.90%,5.07%,21.01%,2.99%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,SMCI,SMCI,Super Micro Computer Inc,Computer Hardware,USA,20.61B,16.81,"29,386,309",31.86,-1.81%,May 05/a,S&P 500,10.06,0.48,0.61,-,17.84,0.84,17.88%,7.30%,8.54%,0.93,1.21,-,1.90,0.71,26.05%,22.00%,46.40%,59.92%,21.01%,61.71%,45.76%,122.68%,314.07%,1.94%,56.58%,8.39%,4.48%,3.70%,0.00%,6.94%,14.70%,-14.11%,32.49%,2.55%,8.86%,-31.64%,47.48%,3.41,9.44%,1.96,-14.84%,-4.70%,-10.01%,45.77,49.11M,0.96,32.45,33.34,33.68,31.42,2.90,35.87,Jun-24,Super Micro's AI Growth Story Gets a Major Boost From New Deal,https://finance.yahoo.com/technology/ai/articles/super-micros-ai-growth-story-174550856.html,Super Micro Computer announces an AI infrastructure partnership with Odine to deploy and operate its GPU systems and AI platforms for data centers in Turkiye.,Technology,15.79,28.46B,2.66,1.29,33.70B,1.25B,57.52%,784.86%,8.83%,-48.90%,63.57%,-4.43%,2.74%,-,36.08%,-17.31%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,IONQ,IONQ,IonQ Inc,Computer Hardware,USA,19.03B,-,"13,760,468",50.99,-4.86%,May 06/a,RUT,-,-,101.73,-,-,91.09,10.75%,8.18%,6.17%,0.00,0.01,-,-0.17,-0.54,79.52%,-397.41%,-95.06%,-69.38%,-4.61%,126.89%,-,754.72%,1570.07%,105.74%,334.58%,-28.80%,-420.29%,164.87%,-0.30%,2.15%,-6.76%,-19.84%,59.56%,-5.32%,13.65%,33.81%,444.24%,5.41,9.36%,3.25,-16.04%,-6.25%,2.90%,41.74,31.17M,0.71,53.60,54.52,55.08,50.36,1.54,71.32,Jun-23,Trump Wants to Aggressively Fast Track Quantum Computing Projects,https://finance.yahoo.com/m/e1d27ca5-e5ff-3d5b-b8d0-9d7d566fe37f/trump-wants-to-aggressively.html,Profit-taking hits IONQ after Trump quantum executive orders rally,Technology,9.36,17.05B,14.05,13.53,187.12M,308.51M,55.55%,390.81%,8.80%,-39.75%,96.97%,-6.47%,1.72%,-,548.44%,29.98%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
2026-06-25,leaders,v1,Computer Hardware,LOGI,LOGI,Logitech International SA,Computer Hardware,Switzerland,14.59B,21.20,"578,384",101.68,-0.68%,May 05/a,-,16.55,3.63,3.01,14.60,14.77,2.67,32.78%,19.25%,31.16%,0.03,0.04,12.21%,4.80,1.23,-2.25%,8.72%,29.16%,-3.11%,4.56%,2.17%,-1.62%,7.44%,2.09%,16.03%,6.28%,42.02%,16.49%,14.69%,0.00%,-0.27%,-4.03%,-8.70%,8.27%,-1.66%,1.45%,14.99%,82.21%,3.47,2.74%,1.17,-9.34%,-4.25%,-1.84%,37.92,1.05M,0.88,102.37,103.04,103.06,99.75,2.32,120.19,Jun-10,"Logitech Launches Mobi Fold, Its First Ultra-Portable Foldable Mouse for Life On the Go",https://www.businesswire.com/news/home/20260610307948/en/Logitech,"Logitech launches Mobi Fold foldable mouse and Spotlight 2 presenter, expanding core peripherals lineup for mobile professionals and presenters",Technology,8.38,12.94B,2.22,1.85,4.84B,711.19M,72.03%,-15.80%,2.32%,-21.58%,22.03%,-1.32%,0.65%,15.04%,2.88%,0.34%,sustained_strength,1,5.0,3.0,1.0,1.0,0.866497139224412,0.8787878787878788,0.9652777777777778,0.0675990675990676,0.9073426573426572,0.986013986013986,-0.3636363636363636,0.8333333333333334,1.0,0.8333333333333334,,0.0,-6.972999999999999
