date,collected_at,list_category,selector_version,group,ticker,Ticker,Company,Industry,Country,Market Cap,P/E,Volume,Price,Change,Earnings,Index,Forward P/E,PEG,P/S,P/FCF,EV/EBITDA,EV/Sales,ROE,ROA,ROIC,LTDebt/Eq,Debt/Eq,Dividend Gr. 5Y,EPS,EPS next Q,EPS This Y,EPS Next Y,EPS Past 3Y,EPS Past 5Y,EPS Next 5Y,Sales Past 3Y,Sales Past 5Y,Sales Q/Q,EPS Q/Q,EPS YoY TTM,Sales YoY TTM,Gross M,Oper M,Profit M,Insider Trans,Inst Trans,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,ATR,Volatility M,Beta,SMA20,SMA50,SMA200,RSI,Avg Volume,Rel Volume,Prev Close,Open,High,Low,Recom,Target Price,News Time,News Title,News URL,Daily Digest,Sector,P/C,Enterprise Value,Curr R,Quick R,Sales,Income,Inst Own,Perf 5Y,Volatility W,52W High,52W Low,Change from Open,Gap,Dividend Gr. 3Y,EPS Surprise,Revenue Surprise,grp_rank_basis,grp_category_rank,grp_sum_mid_rank,grp_rank_month,grp_rank_quarter,grp_rank_half,grp_momentum_confirmed,grp_momentum_score,grp_momentum_score_pctile,grp_momentum_accel,grp_momentum_weighted_mid,grp_rank_agreement,grp_regime_short_long,grp_rs_score,grp_rs_agreement,grp_rs_confirmed,grp_rs_accel,grp_rs_new_high,grp_rs_slope,atr_ext_50,risk_20ma_pct,risk_50ma_pct,range_atr,stage2,tight_range_7,range_atr_spark,atr_spark,relvol_spark
2026-09-09,2026-09-09T21:07:13Z,leaders,v3,Oil & Gas Refining & Marketing,MPC,MPC,Marathon Petroleum Corp,Oil & Gas Refining & Marketing,USA,112.17B,13.75,"1,970,870",399.44,0.42%,Aug 04/b,S&P 500,10.81,0.39,0.73,8.70,8.95,0.95,47.88%,9.89%,16.84%,1.66,1.80,9.96%,29.05,20.77,384.96%,-28.80%,-22.25%,-,27.79%,-9.26%,13.89%,53.10%,347.24%,331.26%,15.19%,10.70%,8.44%,5.58%,-4.34%,-1.98%,4.29%,24.70%,54.73%,85.59%,145.61%,118.06%,157.19%,10.81,3.15%,0.54,8.05%,21.91%,63.92%,80.88,2.37M,0.83,397.77,401.58,402.00,393.54,2.23,351.65,9 hours,Trump oil and gas holdings gained up to $4.4M during Iran war,https://finance.yahoo.com/m/cea38987-709b-3779-bfe2-80fed5d0809b/trump-oil-and-gas-holdings.html,Marathon Petroleum shares rise as oil prices climb on renewed Middle East supply fears following Iranian threats to Gulf energy infrastructure and shipping routes.,Energy,14.44,145.34B,1.25,0.89,153.26B,8.55B,80.13%,597.71%,2.84%,-0.05%,146.67%,-0.53%,0.96%,14.42%,24.26%,28.07%,sustained_strength,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,6.6409300441606645,0.07450254511800097,0.1797227462882455,0.782608695652172,1,0,1.61|0.94|0.56|0.94|0.96|1.13|1.43|1.08|0.42|0.78,10.97|10.92|10.57|10.52|10.48|10.59|10.94|11.01|10.99|10.81,0.88|1.28|0.81|1.53|1.00|1.01|0.90|0.79|0.78|0.83
2026-09-09,2026-09-09T21:07:13Z,all_green,v3,Oil & Gas Refining & Marketing,MPC,MPC,Marathon Petroleum Corp,Oil & Gas Refining & Marketing,USA,112.17B,13.75,"1,970,870",399.44,0.42%,Aug 04/b,S&P 500,10.81,0.39,0.73,8.70,8.95,0.95,47.88%,9.89%,16.84%,1.66,1.80,9.96%,29.05,20.77,384.96%,-28.80%,-22.25%,-,27.79%,-9.26%,13.89%,53.10%,347.24%,331.26%,15.19%,10.70%,8.44%,5.58%,-4.34%,-1.98%,4.29%,24.70%,54.73%,85.59%,145.61%,118.06%,157.19%,10.81,3.15%,0.54,8.05%,21.91%,63.92%,80.88,2.37M,0.83,397.77,401.58,402.00,393.54,2.23,351.65,9 hours,Trump oil and gas holdings gained up to $4.4M during Iran war,https://finance.yahoo.com/m/cea38987-709b-3779-bfe2-80fed5d0809b/trump-oil-and-gas-holdings.html,Marathon Petroleum shares rise as oil prices climb on renewed Middle East supply fears following Iranian threats to Gulf energy infrastructure and shipping routes.,Energy,14.44,145.34B,1.25,0.89,153.26B,8.55B,80.13%,597.71%,2.84%,-0.05%,146.67%,-0.53%,0.96%,14.42%,24.26%,28.07%,all_green,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,6.6409300441606645,0.07450254511800097,0.1797227462882455,0.782608695652172,1,0,1.61|0.94|0.56|0.94|0.96|1.13|1.43|1.08|0.42|0.78,10.97|10.92|10.57|10.52|10.48|10.59|10.94|11.01|10.99|10.81,0.88|1.28|0.81|1.53|1.00|1.01|0.90|0.79|0.78|0.83
2026-09-09,2026-09-09T21:07:13Z,leaders,v3,Oil & Gas Refining & Marketing,VLO,VLO,Valero Energy Corp,Oil & Gas Refining & Marketing,USA,111.99B,16.13,"3,052,720",388.95,1.59%,Jul 30/b,S&P 500,11.37,0.33,0.80,11.07,8.57,0.85,29.30%,11.59%,20.30%,0.42,0.45,2.89%,24.11,17.28,318.50%,-22.96%,-36.08%,-,34.85%,-11.44%,13.60%,49.04%,452.98%,898.48%,12.92%,8.41%,7.60%,5.15%,-2.64%,-3.98%,7.45%,23.50%,53.26%,79.22%,138.93%,140.34%,173.79%,10.79,3.01%,0.60,9.84%,21.57%,60.92%,80.94,2.84M,1.07,382.85,386.37,389.17,379.59,2.35,341.00,9 hours,Trump oil and gas holdings gained up to $4.4M during Iran war,https://finance.yahoo.com/m/cea38987-709b-3779-bfe2-80fed5d0809b/trump-oil-and-gas-holdings.html,"Oil prices jump on Iranian threats to Gulf oil and gas infrastructure, shipping routes, heightening Middle East supply fears for Valero Energy",Energy,14.17,118.70B,1.64,1.23,139.72B,7.19B,87.95%,512.13%,2.82%,1.22%,153.22%,0.67%,0.92%,4.86%,24.06%,12.69%,sustained_strength,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,6.395817449536313,0.08958485069191556,0.1774286419346878,0.8878591288229881,1,0,1.39|0.93|0.74|1.10|0.83|1.02|1.19|1.13|0.67|0.89,10.73|10.67|10.46|10.55|10.41|10.42|10.58|10.68|10.88|10.79,0.76|0.69|0.65|1.25|0.97|1.01|0.89|1.01|0.96|1.07
2026-09-09,2026-09-09T21:07:13Z,all_green,v3,Oil & Gas Refining & Marketing,VLO,VLO,Valero Energy Corp,Oil & Gas Refining & Marketing,USA,111.99B,16.13,"3,052,720",388.95,1.59%,Jul 30/b,S&P 500,11.37,0.33,0.80,11.07,8.57,0.85,29.30%,11.59%,20.30%,0.42,0.45,2.89%,24.11,17.28,318.50%,-22.96%,-36.08%,-,34.85%,-11.44%,13.60%,49.04%,452.98%,898.48%,12.92%,8.41%,7.60%,5.15%,-2.64%,-3.98%,7.45%,23.50%,53.26%,79.22%,138.93%,140.34%,173.79%,10.79,3.01%,0.60,9.84%,21.57%,60.92%,80.94,2.84M,1.07,382.85,386.37,389.17,379.59,2.35,341.00,9 hours,Trump oil and gas holdings gained up to $4.4M during Iran war,https://finance.yahoo.com/m/cea38987-709b-3779-bfe2-80fed5d0809b/trump-oil-and-gas-holdings.html,"Oil prices jump on Iranian threats to Gulf oil and gas infrastructure, shipping routes, heightening Middle East supply fears for Valero Energy",Energy,14.17,118.70B,1.64,1.23,139.72B,7.19B,87.95%,512.13%,2.82%,1.22%,153.22%,0.67%,0.92%,4.86%,24.06%,12.69%,all_green,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,6.395817449536313,0.08958485069191556,0.1774286419346878,0.8878591288229881,1,0,1.39|0.93|0.74|1.10|0.83|1.02|1.19|1.13|0.67|0.89,10.73|10.67|10.46|10.55|10.41|10.42|10.58|10.68|10.88|10.79,0.76|0.69|0.65|1.25|0.97|1.01|0.89|1.01|0.96|1.07
2026-09-09,2026-09-09T21:07:13Z,leaders,v3,Oil & Gas Refining & Marketing,PSX,PSX,Phillips 66,Oil & Gas Refining & Marketing,USA,104.06B,14.84,"2,159,743",260.78,0.63%,Aug 05/b,S&P 500,10.88,0.25,0.68,16.27,10.24,0.79,24.01%,8.98%,14.09%,0.60,0.65,5.70%,17.57,10.18,314.73%,-10.29%,-22.61%,-,44.00%,-8.06%,15.72%,53.04%,344.96%,322.30%,15.60%,7.92%,5.90%,4.62%,-26.53%,-0.27%,3.48%,21.00%,45.69%,60.48%,102.09%,97.13%,113.35%,6.90,2.95%,0.70,6.65%,19.74%,50.20%,77.83,2.76M,0.78,259.14,262.19,263.66,257.93,2.22,242.28,9 hours,Trump oil and gas holdings gained up to $4.4M during Iran war,https://finance.yahoo.com/m/cea38987-709b-3779-bfe2-80fed5d0809b/trump-oil-and-gas-holdings.html,"Zacks upgrades Phillips 66, citing its diversified business model, focus on shareholder returns and strong balance sheet as key positives.",Energy,25.39,121.72B,1.32,1.00,153.37B,7.08B,81.27%,290.74%,2.58%,-0.08%,105.76%,-0.54%,1.18%,7.44%,25.45%,18.39%,sustained_strength,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,6.230646110050037,0.06235349273323958,0.16485719057958917,0.8304347826086983,1,0,1.52|1.08|0.70|1.09|0.72|1.30|0.97|1.27|0.39|0.83,6.96|7.00|6.84|6.89|6.79|6.95|6.93|7.08|6.99|6.90,0.84|0.91|0.65|1.68|1.16|1.08|1.00|0.84|0.92|0.78
2026-09-09,2026-09-09T21:07:13Z,all_green,v3,Oil & Gas Refining & Marketing,PSX,PSX,Phillips 66,Oil & Gas Refining & Marketing,USA,104.06B,14.84,"2,159,743",260.78,0.63%,Aug 05/b,S&P 500,10.88,0.25,0.68,16.27,10.24,0.79,24.01%,8.98%,14.09%,0.60,0.65,5.70%,17.57,10.18,314.73%,-10.29%,-22.61%,-,44.00%,-8.06%,15.72%,53.04%,344.96%,322.30%,15.60%,7.92%,5.90%,4.62%,-26.53%,-0.27%,3.48%,21.00%,45.69%,60.48%,102.09%,97.13%,113.35%,6.90,2.95%,0.70,6.65%,19.74%,50.20%,77.83,2.76M,0.78,259.14,262.19,263.66,257.93,2.22,242.28,9 hours,Trump oil and gas holdings gained up to $4.4M during Iran war,https://finance.yahoo.com/m/cea38987-709b-3779-bfe2-80fed5d0809b/trump-oil-and-gas-holdings.html,"Zacks upgrades Phillips 66, citing its diversified business model, focus on shareholder returns and strong balance sheet as key positives.",Energy,25.39,121.72B,1.32,1.00,153.37B,7.08B,81.27%,290.74%,2.58%,-0.08%,105.76%,-0.54%,1.18%,7.44%,25.45%,18.39%,all_green,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,6.230646110050037,0.06235349273323958,0.16485719057958917,0.8304347826086983,1,0,1.52|1.08|0.70|1.09|0.72|1.30|0.97|1.27|0.39|0.83,6.96|7.00|6.84|6.89|6.79|6.95|6.93|7.08|6.99|6.90,0.84|0.91|0.65|1.68|1.16|1.08|1.00|0.84|0.92|0.78
2026-09-09,2026-09-09T21:07:13Z,leaders,v3,Oil & Gas Refining & Marketing,DINO,DINO,HF Sinclair Corp,Oil & Gas Refining & Marketing,USA,19.23B,10.32,"1,719,686",108.14,-0.16%,Jul 28/b,-,10.33,0.67,0.62,8.32,5.64,0.65,19.41%,10.60%,14.15%,0.31,0.32,7.39%,10.48,5.92,191.98%,-29.17%,-40.04%,-,15.32%,-11.07%,19.15%,53.15%,350.42%,2332.69%,16.26%,10.13%,8.58%,6.08%,0.09%,4.22%,4.01%,26.90%,55.33%,103.58%,134.68%,106.26%,77.31%,3.69,3.66%,0.71,9.78%,20.40%,63.43%,74.31,2.64M,0.65,108.31,108.75,109.08,106.29,2.56,96.64,Aug-25,Sinclair Oil turns to mobile gaming to drive loyalty,https://finance.yahoo.com/m/b95321d6-bd9e-32c6-a750-cf29e27e64df/sinclair-oil-turns-to-mobile.html,HF Sinclair commits ~$750M for 15% stake in $5B Western Gateway pipeline JV with Phillips 66 and Kinder Morgan,Energy,8.50,20.27B,1.97,1.10,31.23B,1.90B,88.19%,261.19%,3.19%,-1.57%,136.58%,-0.56%,0.41%,18.56%,18.26%,19.68%,sustained_strength,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,4.965507927504524,0.08908726543997074,0.16943521594684388,0.7560975609756077,1,0,1.77|1.00|0.85|1.19|0.81|1.11|0.93|0.97|0.63|0.76,3.75|3.75|3.70|3.76|3.70|3.74|3.71|3.71|3.76|3.69,0.93|0.71|0.69|1.57|1.03|0.95|0.85|0.75|0.96|0.65
2026-09-09,2026-09-09T21:07:13Z,all_green,v3,Oil & Gas Refining & Marketing,DINO,DINO,HF Sinclair Corp,Oil & Gas Refining & Marketing,USA,19.23B,10.32,"1,719,686",108.14,-0.16%,Jul 28/b,-,10.33,0.67,0.62,8.32,5.64,0.65,19.41%,10.60%,14.15%,0.31,0.32,7.39%,10.48,5.92,191.98%,-29.17%,-40.04%,-,15.32%,-11.07%,19.15%,53.15%,350.42%,2332.69%,16.26%,10.13%,8.58%,6.08%,0.09%,4.22%,4.01%,26.90%,55.33%,103.58%,134.68%,106.26%,77.31%,3.69,3.66%,0.71,9.78%,20.40%,63.43%,74.31,2.64M,0.65,108.31,108.75,109.08,106.29,2.56,96.64,Aug-25,Sinclair Oil turns to mobile gaming to drive loyalty,https://finance.yahoo.com/m/b95321d6-bd9e-32c6-a750-cf29e27e64df/sinclair-oil-turns-to-mobile.html,HF Sinclair commits ~$750M for 15% stake in $5B Western Gateway pipeline JV with Phillips 66 and Kinder Morgan,Energy,8.50,20.27B,1.97,1.10,31.23B,1.90B,88.19%,261.19%,3.19%,-1.57%,136.58%,-0.56%,0.41%,18.56%,18.26%,19.68%,all_green,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,4.965507927504524,0.08908726543997074,0.16943521594684388,0.7560975609756077,1,0,1.77|1.00|0.85|1.19|0.81|1.11|0.93|0.97|0.63|0.76,3.75|3.75|3.70|3.76|3.70|3.74|3.71|3.71|3.76|3.69,0.93|0.71|0.69|1.57|1.03|0.95|0.85|0.75|0.96|0.65
2026-09-09,2026-09-09T21:07:13Z,leaders,v3,Oil & Gas Refining & Marketing,SUN,SUN,Sunoco LP,Oil & Gas Refining & Marketing,USA,15.93B,17.07,"449,579",77.79,1.13%,Aug 04/b,-,8.55,0.15,0.40,9.25,10.88,0.80,14.54%,4.08%,3.93%,1.76,1.78,1.81%,4.56,2.46,249.77%,5.30%,-21.31%,7.19%,58.86%,-0.69%,18.67%,164.55%,185.46%,123.75%,83.34%,9.72%,4.92%,1.58%,0.00%,-0.33%,1.04%,8.25%,21.13%,21.55%,48.43%,52.23%,73.10%,1.92,2.56%,0.43,2.67%,5.33%,20.12%,58.83,443.33K,1.01,76.92,76.92,77.95,76.58,1.38,83.00,Aug-18,Caseys CEO receives biggest payday yet,https://finance.yahoo.com/m/6b32896a-e5e8-3f8f-960c-4ce8134c8758/casey%E2%80%99s-ceo-receives-biggest.html,"Sunoco LP to buy Offen Petroleum for about $600 million in all-cash deal, immediately accretive to cash flow",Energy,20.61,31.51B,1.29,0.83,39.58B,627.00M,47.61%,109.68%,2.70%,-0.41%,62.13%,1.13%,0.00%,3.04%,-14.05%,29.06%,sustained_strength,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,2.050206790562988,0.026005649167234836,0.050602867179341,0.7135416666666691,1,0,0.67|1.06|0.64|0.97|0.97|0.66|1.30|1.23|1.05|0.71,1.97|1.98|1.93|1.92|1.92|1.88|1.92|1.96|1.96|1.92,0.74|0.55|0.38|1.32|0.78|0.54|1.81|0.82|1.05|1.01
2026-09-09,2026-09-09T21:07:13Z,all_green,v3,Oil & Gas Refining & Marketing,SUN,SUN,Sunoco LP,Oil & Gas Refining & Marketing,USA,15.93B,17.07,"449,579",77.79,1.13%,Aug 04/b,-,8.55,0.15,0.40,9.25,10.88,0.80,14.54%,4.08%,3.93%,1.76,1.78,1.81%,4.56,2.46,249.77%,5.30%,-21.31%,7.19%,58.86%,-0.69%,18.67%,164.55%,185.46%,123.75%,83.34%,9.72%,4.92%,1.58%,0.00%,-0.33%,1.04%,8.25%,21.13%,21.55%,48.43%,52.23%,73.10%,1.92,2.56%,0.43,2.67%,5.33%,20.12%,58.83,443.33K,1.01,76.92,76.92,77.95,76.58,1.38,83.00,Aug-18,Caseys CEO receives biggest payday yet,https://finance.yahoo.com/m/6b32896a-e5e8-3f8f-960c-4ce8134c8758/casey%E2%80%99s-ceo-receives-biggest.html,"Sunoco LP to buy Offen Petroleum for about $600 million in all-cash deal, immediately accretive to cash flow",Energy,20.61,31.51B,1.29,0.83,39.58B,627.00M,47.61%,109.68%,2.70%,-0.41%,62.13%,1.13%,0.00%,3.04%,-14.05%,29.06%,all_green,1,4.0,1.0,1.0,2.0,0.9768040816991868,0.9836829836829838,1.0,0.1562181949505894,0.9877622377622378,0.993006993006993,-0.0221445221445221,1.0,1.0,1.0,0.1666666666666666,0.0,2.2245454545454546,2.050206790562988,0.026005649167234836,0.050602867179341,0.7135416666666691,1,0,0.67|1.06|0.64|0.97|0.97|0.66|1.30|1.23|1.05|0.71,1.97|1.98|1.93|1.92|1.92|1.88|1.92|1.96|1.96|1.92,0.74|0.55|0.38|1.32|0.78|0.54|1.81|0.82|1.05|1.01
