date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-03,morning,2026-09-03T14:06:56Z,A,Diagnostics & Research,leaders,152.72,147.6,4.41,149.06,152.63,154.29,150.26,-1.54,failed_breakout,-0.2721088435374124,,,50.77,3.24%,2.65%,0.59,-8.97%,149.06,-1.82%,4.97%,4.39
2026-09-03,morning,2026-09-03T14:06:56Z,AAPL,Consumer Electronics,all_green,328.4,323.53,7.43,326.56,324.95,327.5,324.14,0.49,setting_up,0.32570659488560105,,,62.14,2.47%,2.00%,0.57,-5.23%,326.56,4.42%,3.93%,7.14
2026-09-03,morning,2026-09-03T14:06:56Z,ABBV,Drug Manufacturers - General,leaders,262.97,257.7,5.68,259.47,262.0,264.25,257.3,-0.86,reclaim,0.3820422535211296,prior_low,257.7,54.32,1.94%,2.02%,0.34,-2.99%,259.47,0.97%,2.07%,5.77
2026-09-03,morning,2026-09-03T14:06:56Z,ADSK,Software - Application,emerging,248.27,241.05,9.8,249.28,246.01,250.07,246.01,3.12,triggered,0.3336734693877561,,,52.20,3.72%,3.48%,0.54,-24.25%,249.28,-1.26%,8.22%,9.69
2026-09-03,morning,2026-09-03T14:06:56Z,AHR,REIT - Healthcare Facilities,rs_new_high,56.78,55.69,1.26,55.6,57.4,56.26,55.47,-1.09,invalidated,0.10317460317460521,,,50.84,1.86%,2.06%,0.27,-5.28%,55.60,0.42%,0.76%,1.23
2026-09-03,morning,2026-09-03T14:06:56Z,ALAB,,watchlist,278.63,267.01,23.04,269.29,270.25,272.94,262.45,-1.77,setting_up,0.2968750000000014,,,39.24,4.16%,6.48%,0.57,-46.09%,269.29,-9.92%,-18.87%,22.23
2026-09-03,morning,2026-09-03T14:06:56Z,AM,Oil & Gas Midstream,rs_new_high,22.55,22.21,0.51,22.56,22.61,22.7,22.44,0.2,gapped_through,0.2352941176470538,,,54.95,1.81%,2.32%,0.21,-5.37%,22.56,1.31%,1.05%,0.49
2026-09-03,morning,2026-09-03T14:06:56Z,AMD,,watchlist,462.21,452.36,22.74,446.08,453.07,453.71,440.61,-2.4,invalidated,0.24054529463500313,,,40.33,2.51%,3.53%,1.05,-23.71%,446.08,-6.09%,-10.81%,22.30
2026-09-03,morning,2026-09-03T14:06:56Z,ARWR,Biotechnology,leaders,85.47,82.08,3.29,84.21,85.18,85.36,83.46,-1.35,reclaim,0.22796352583586627,sma50,83.73712604217754,46.92,3.50%,3.32%,0.28,-11.81%,84.21,-3.10%,0.47%,3.19
2026-09-03,morning,2026-09-03T14:06:56Z,ASND,Biotechnology,leaders,268.71,257.52,8.51,269.42,267.0,269.45,266.48,0.79,triggered,0.34547591069330175,,,64.61,3.90%,3.15%,0.87,-4.51%,269.42,5.82%,4.69%,8.12
2026-09-03,morning,2026-09-03T14:06:56Z,BAC,Banks - Diversified,leaders,63.55,61.94,1.09,62.76,62.81,62.94,62.32,0.25,setting_up,0.40366972477064006,,,53.83,1.76%,1.66%,1.02,-3.79%,62.76,-0.31%,2.00%,1.06
2026-09-03,morning,2026-09-03T14:06:56Z,BAX,,watchlist,26.05,25.48,0.84,25.41,25.96,26.09,25.26,-1.13,invalidated,0.17857142857142688,,,47.04,2.82%,2.92%,0.38,-15.30%,25.41,-3.90%,3.18%,0.84
2026-09-03,morning,2026-09-03T14:06:56Z,BFLY,,watchlist,8.5,7.47,0.66,7.42,7.71,7.76,7.41,-2.36,invalidated,0.015151515151514828,,,39.75,7.56%,7.23%,0.46,-26.16%,7.42,-15.59%,-8.46%,0.64
