date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-24,pre_close,2026-09-24T19:33:13Z,AAPL,Consumer Electronics,accel,341.8,335.5,7.14,337.48,336.32,338.91,334.38,0.14,reclaim,0.43417366946779035,prior_low,335.5,63.30,2.01%,2.22%,0.33,-2.28%,337.48,2.84%,4.90%,6.96
2026-09-24,pre_close,2026-09-24T19:33:13Z,ADI,Semiconductors,all_green,390.06,379.0,11.45,382.46,381.17,384.34,377.4,-0.72,reclaim,0.4419213973799129,prior_low,379.0,56.54,3.17%,2.56%,0.33,-14.23%,382.46,3.94%,2.56%,11.19
2026-09-24,pre_close,2026-09-24T19:33:13Z,AKAM,Software - Infrastructure,accel,119.48,113.76,5.52,112.85,116.82,118.74,111.82,-4.72,invalidated,0.18659420289855094,,,52.24,6.43%,4.49%,0.72,-31.79%,112.85,3.77%,-0.50%,5.62
2026-09-24,pre_close,2026-09-24T19:33:13Z,ALAB,Semiconductors,all_green,367.87,351.38,23.5,364.13,350.4,367.69,349.56,1.02,reclaim,0.6199999999999997,prior_low,351.38,64.25,7.07%,6.06%,0.52,-27.10%,364.13,21.23%,19.70%,23.12
2026-09-24,pre_close,2026-09-24T19:33:13Z,ANET,Computer Hardware,all_green,206.48,200.75,7.78,205.88,199.5,206.54,199.26,1.18,reclaim,0.8508997429305918,prior_low,200.75,59.66,3.40%,3.39%,0.34,-4.19%,205.88,4.87%,8.66%,7.74
2026-09-24,pre_close,2026-09-24T19:33:13Z,APH,Electronic Components,rs_new_high,83.4,81.38,2.83,82.86,80.49,83.53,80.31,0.82,reclaim,0.9010600706713771,prior_low,81.38,55.69,3.07%,2.85%,0.59,-7.17%,82.86,2.89%,3.29%,2.86
2026-09-24,pre_close,2026-09-24T19:33:13Z,ARW,Electronics & Computer Distribution,all_green,230.12,219.73,7.78,225.79,222.97,228.3,221.71,-0.46,setting_up,0.5244215938303322,,,60.21,2.89%,3.17%,0.36,-4.87%,225.79,5.06%,6.06%,7.70
2026-09-24,pre_close,2026-09-24T19:33:13Z,ASML,Semiconductor Equipment & Materials,emerging,1746.6,1704.3,54.28,1722.74,1708.48,1736.67,1700.88,-1.25,reclaim,0.40272660280029293,prior_low,1704.3,52.34,2.65%,2.34%,0.60,-13.86%,1722.74,2.18%,0.25%,53.52
2026-09-24,pre_close,2026-09-24T19:33:13Z,ASX,Semiconductors,all_green,44.83,43.15,1.82,43.78,43.26,44.08,42.72,-0.33,reclaim,0.5824175824175837,prior_low,43.15,63.32,4.15%,3.17%,0.36,-3.80%,43.78,10.32%,14.38%,1.79
2026-09-24,pre_close,2026-09-24T19:33:13Z,AVT,Electronics & Computer Distribution,all_green,102.7,97.63,3.73,100.73,99.12,101.8,97.35,-0.42,reclaim,0.9061662198391447,prior_low,97.63,64.04,3.76%,3.59%,0.77,-1.92%,100.73,7.66%,9.63%,3.78
2026-09-24,pre_close,2026-09-24T19:33:13Z,BE,Electrical Equipment & Parts,emerging,282.64,271.02,18.05,267.63,257.18,269.34,251.3,-2.75,invalidated,0.9047091412742373,,,56.57,5.67%,6.08%,1.05,-23.81%,267.63,5.78%,17.35%,18.47
2026-09-24,pre_close,2026-09-24T19:33:13Z,BLLN,Diagnostics & Research,all_green,117.19,113.55,6.3,126.61,112.33,127.71,112.33,10.65,triggered,2.266666666666667,,,69.68,7.26%,5.52%,1.14,-15.84%,126.61,23.63%,15.65%,6.95
2026-09-24,pre_close,2026-09-24T19:33:13Z,CBRS,Semiconductors,all_green,213.0,203.0,13.79,206.96,197.09,208.5,197.08,0.84,reclaim,0.7164612037708482,prior_low,203.0,53.67,4.84%,5.73%,0.37,-46.43%,206.96,7.01%,2.36%,13.62
2026-09-24,pre_close,2026-09-24T19:33:13Z,CHKP,Software - Infrastructure,accel,141.66,136.6,5.12,138.04,141.22,141.25,137.46,-2.21,setting_up,0.11328124999999689,,,54.82,3.89%,3.67%,0.31,-34.47%,138.04,1.62%,4.15%,5.02
