fmp_industry,fmp_sector,finviz_industry,finviz_sector,confidence,note
Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,1.0,exact
Aluminum,Basic Materials,Aluminum,Basic Materials,1.0,exact
Chemicals,Basic Materials,Chemicals,Basic Materials,1.0,exact
Chemicals - Specialty,Basic Materials,Specialty Chemicals,Basic Materials,0.95,reorder
Construction Materials,Basic Materials,Building Materials,Basic Materials,0.9,name_variant
Copper,Basic Materials,Copper,Basic Materials,1.0,exact
Gold,Basic Materials,Gold,Basic Materials,1.0,exact
Industrial Materials,Basic Materials,Other Industrial Metals & Mining,Basic Materials,0.6,broadened
"Paper, Lumber & Forest Products",Basic Materials,Lumber & Wood Production,Basic Materials,0.55,combined
Silver,Basic Materials,Silver,Basic Materials,1.0,exact
Steel,Basic Materials,Steel,Basic Materials,1.0,exact
Advertising Agencies,Communication Services,Advertising Agencies,Communication Services,1.0,exact
Electronic Gaming & Multimedia,Communication Services,Electronic Gaming & Multimedia,Communication Services,1.0,exact
Entertainment,Communication Services,Entertainment,Communication Services,1.0,exact
Internet Content & Information,Communication Services,Internet Content & Information,Communication Services,1.0,exact
Publishing,Communication Services,Publishing,Communication Services,1.0,exact
Telecommunications Services,Communication Services,Telecom Services,Communication Services,0.95,name_variant
Apparel - Footwear & Accessories,Consumer Cyclical,Footwear & Accessories,Consumer Cyclical,0.95,reorder
Apparel - Manufacturers,Consumer Cyclical,Apparel Manufacturing,Consumer Cyclical,0.9,name_variant
Apparel - Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical,0.95,reorder
Auto - Dealerships,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical,0.9,name_variant
Auto - Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,0.95,reorder
Auto - Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,0.95,reorder
Auto - Recreational Vehicles,Consumer Cyclical,Recreational Vehicles,Consumer Cyclical,0.9,name_variant
Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,1.0,exact
"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1.0,exact
"Gambling, Resorts & Casinos",Consumer Cyclical,Resorts & Casinos,Consumer Cyclical,0.8,combined
Home Improvement,Consumer Cyclical,Home Improvement Retail,Consumer Cyclical,0.9,name_variant
Leisure,Consumer Cyclical,Leisure,Consumer Cyclical,1.0,exact
Luxury Goods,Consumer Cyclical,Luxury Goods,Consumer Cyclical,1.0,exact
Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical,1.0,exact
Personal Products & Services,Consumer Cyclical,Personal Services,Consumer Cyclical,0.8,name_variant
Residential Construction,Consumer Cyclical,Residential Construction,Consumer Cyclical,1.0,exact
Restaurants,Consumer Cyclical,Restaurants,Consumer Cyclical,1.0,exact
Specialty Retail,Consumer Cyclical,Specialty Retail,Consumer Cyclical,1.0,exact
Travel Lodging,Consumer Cyclical,Lodging,Consumer Cyclical,0.9,name_variant
Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical,1.0,exact
